ID,Topic,Objective,Key Concepts,Output
EL-01,PDF Question Answering System,"Build a system where users can upload a PDF (notes, textbook, or research paper) and ask questions in natural language. The system should understand the content and provide accurate answers based on the document.","PDF Loading, Text Chunking, Embeddings, Vector Database (FAISS/ChromaDB), Similarity Search (Top-K), RAG (Retrieval-Augmented Generation)","""Chat with your PDF"" – Users can upload a file and get instant answers from it."
EL-02,College Notes Assistant (Subject Helper),"Create a specialized academic assistant that stores all your semester-long notes. Students can ask curriculum-specific questions like ""Explain OSI layer 3,"" and the bot responds using only the provided notes.","Knowledge Base Creation, Hybrid Retrieval (BM25 + Dense), Metadata Tagging, Context Window Optimization",Smart Academic Assistant – A personalized tutor for your specific college syllabus.
EL-03,Resume + Job Description Matcher,Develop a tool for job seekers to upload a resume and a job description. The system calculates a semantic match score and suggests specific keywords or skills to add to improve the resume for that specific role.,"Embeddings, Similarity Metrics (Cosine Similarity), Query Processing, Re-ranking","""You match 78%"" – A detailed breakdown of skill gaps and improvement suggestions."
EL-04,Chat with Website Content (Mini Web RAG),"Build a chatbot that takes a URL as input, scrapes the website content, and allows users to ask questions specifically about that site's services, blogs, or products.","Data Connectors (Web Scraping), Chunking + Embeddings, Vector DB, Query Engine",Website-Specific Chatbot – A tool that turns any URL into an interactive assistant.
EL-05,Customer Support FAQ Bot,Design a business-grade chatbot for companies to upload their FAQ documents. It should answer user queries accurately while strictly avoiding hallucinations by grounding answers in the company docs.,"Metadata Filtering, Top-K Retrieval, Hallucination Reduction, Guardrails",Real-World Business Chatbot – A reliable automated support agent.
EL-06,Codebase Assistant (Dev Helper),"Create a developer tool that indexes an entire software project. Developers can ask ""Where is the login logic handled?"" to quickly navigate large and complex codebases.","Code Chunking, Embeddings for Code, Vector Index, Query Processing","Developer Productivity Tool – A ""GPS"" for navigating and understanding new codebases."
EL-07,News Summarizer + Q&A Bot,Develop a system that ingests daily news articles and provides a high-level summary or answers specific queries about current events by combining multiple news sources.,"Data Preprocessing, Context Compression, Multi-query Retrieval, LLM Summarization","""Summarize today's news"" – A personalized daily intelligence report."
EL-08,Legal/Policy Document Assistant,"Build a high-precision tool for analyzing legal policies. It must extract specific clauses (e.g., ""What is the refund policy?"") and cite exactly which section of the policy the answer came from.","Chunking Optimization, Dense Retrieval, Re-ranking, Faithfulness Evaluation",Accurate Policy Extraction System – A compliance tool for legal and HR teams.
EL-09,YouTube Transcript Q&A Tool,Create a tool where users paste a YouTube link; the system fetches the transcript and allows users to ask questions or summarize the video without watching it.,"Data Loading (Transcripts), Embeddings, Similarity Search, Prompt Augmentation","""Explain this video in 5 points"" – A time-saving tool for video learners."
EL-10,Multi-Document Research Assistant,Build a research tool that can handle dozens of research papers at once. It should be able to synthesize answers that require cross-referencing information from multiple files.,"Multi-query Retrieval, Hybrid Search, Context Window Handling, Evaluation Metrics (Precision@K)",Cross-Document Intelligence – A powerful assistant for literature reviews and research.
EL-11,Email Inbox Assistant,"Connect a RAG pipeline to an email archive. Users can ask ""Find all emails related to the project deadline"" or ""Draft a reply to the last email from the client.""","Data Loading (CSV/IMAP), Metadata Filtering, Similarity Search, Prompt Augmentation",Smart Email Querying – A tool to find information and draft replies in seconds.
EL-12,Personal Knowledge Base (Second Brain AI),"Design a personal ""AI memory"" where a user can store notes, ideas, and bookmarks, then query them months later using natural language.","Knowledge Base, Embeddings + Vector Storage, Query Processing, Context Window","""AI Memory System"" – A digital brain that ensures you never forget a thought."
